CollegeName,TotalRegistrations
SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,4
ST ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,4
KAKATIYA UNIVERSITY,4
ACCENTURE,4
VIT AP,4
MALLAREDDY COLLEGE OF ENGINEERING,4
NALLA NARASIMHA REDDY EDUCATION SOCIETY’S GROUP OF INSTITUTIONS,4
KLUNIVERSITY,4
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,4
ACHARYA NAGARJUNA UNIVERSITY,4
ANNAMACHARYA UNIVERSITY,4
GURU NANAK INSTITUTE OF TECHNOLOGY,4
HITAM,4
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE WARANGAL,4
VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,4
JOGINPALLY B R ENGINEERING COLLEGE,4
RGUKT BASAR,4
UNIVERSITY OF NEW HAVEN,4
IIT KHARAGPUR,4
NRI INSTITUTE OF TECHNOLOGY,4
RVR&JC COLLEGE OF ENGINEERING,4
KALASALINGAM UNIVERSITY,4
ANURAG COLLEGE OF ENGINEERING,4
MUFFAKHAM JAH COLLEGE OF ENGINEERING AND TECHNOLOGY,4
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,4
MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY (MRCET),4
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, HYDERABAD",4
JNTUHCER,4
"JNTUH UNIVERSITY COLLEGE OF ENGINEERING, JAGTIAL",4
MATURI VENKATA SUBHA RAO ENGINEERING COLLEGE,4
CMR ENGINEERING AND TECHNOLOGY,4
MATURI VENKATA SUBBA RAO COLLEGE OF ENGINEERING,4
GOKARAJU RANGARAJU INSTITUTE OF TECHNOLOGY,4
MATURI VENKATA SUBBA RAO(MVSR) ENGINEERING COLLEGE,4
JNTU RAJANNA SIRCILLA,4
VIGNANA BHARATHI INSTITUTION OF TECHNOLOGY,4
MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY,4
"ANURAG UNIVERSITY, HYDERABAD",4
BVRIT HYDERABAD ENGINEERING COLLEGE FOR WOMEN,4
JNTUH UCEJ,4
MRECW,4
GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY HYDERABAD,4
J.B. INSTITUTE OF ENGINEERING AND TECHNOLOGY,4
NAWAB SHAH ALAM KHAN COLLEGE OF ENGINEERING,4
MVSR COLLEGE OF ENGINEERING,4
GEETHANJALI COLLEGE OF ENGINEERING,4
VIDYA JOTHI INSTITUTE OF TECHNOLOGY,4
TKR COLLEGE OF ENGINEERING,4
VNR VIGNANA JYOTHI INSTITUTE OF ENGINEERING & TECHNOLOGY,4
VIDYA JYOTHI INSTITUTION OF TECHNOLOGY,4
SREENIDHI INSTITUTE OF TECHNOLOGY,4
ONLINE CHANDIGARH UNIVERSITY,4
UNIVERSITY COLLEGE OF SCIENCE,4
VIGNANA BHARTHI INSTITUTE OF TECHNOLOGY,4
AICTE,4
"MAHATMA GANDHI UNIVERSITY, NALGONDA",4
MLR INSTITUE OF TECHNOLOGY,4
Narsimha Reddy Engineering College,4
GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
MALLAREDDY INSTITUTE OF TECHNOLOGY AND SCIENCE,3
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,3
SRM AP,3
UNIVERSITY OF EAST LONDON,3
NONE,3
CHAITANYA DEEMED TO BE UNIVERSITY,3
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,3
KOMMURI PRATAP REDDY INSTITUTE OF TECHNOLOGY,3
VVIT,3
SIR CR REDDY POLYTECHNIC,3
RAGHU INSTITUTE OF TECHNOLOGY,3
AURORA PG COLLEGE,3
VIT-AP UNIVERSITY,3
SIR C R REDDY COLLEGE OF ENGINEERING,3
MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,3
ALLIANCE UNIVERSITY,3
SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,3
JBIT,3
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS,3
DMSSVH COLLEGE OF ENGINEERING,3
AMRITA VISHWA VIDYAPEETAM,3
R.V.R & J.C COLLEGE OF ENGINEERING,3
G.PULLA REDDY ENGINEERING COLLEGE,3
SRI VENKATESWARA UNIVERSITY,3
VELTECH UNIVERSITY,3
SREE VIDYANIKETHAN ENGINEERING COLLEGE,3
"VELLORE INSTITUTE OF TECHNOLOGY, VELLORE",3
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DHARWAD,3
ST.MARTINS ENGINEERING COLLEGE,3
SHIV NADAR UNIVERSITY CHENNAI,3
"GITAM UNIVERSITY, HYDERABAD",3
NIT WARANGAL,3
SASTRA UNIVERSITY,3
VIT,3
CMR INSTITUTE OF TECHNOLOGY HYDERABAD,3
SRI VENKATESWARA ENGINEERING COLLEGE,3
JNTUH UNIVERSITY COLLEGE OF ENGINEERING MANTHANI,3
SCIENT INSTITUTE OF TECHNOLOGY,3
ILLINOIS INSTITUTE OF TECHNOLOGY,3
ANURAG ENGINEERING COLLEGE KODAD,3
DHANEKULA INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
MALLA REDDY INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
JNTUH COLLEGE OF ENGINEERING HYDERABAD,3
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,3
KESHAV MEMORIAL ENGINEERING COLLEGE,3
IIT MADRAS,3
SANTHIRAM ENGINEERING COLLEGE,3
GIET ENGINEERING COLLEGE,3
BAPATLA ENGINEERING COLLEGE,3
LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,3
MANAV RACHNA UNIVERSITY,3
ADITYA COLLEGE OF ENGINEERING,3
VIT CHENNAI,3
MALLAREDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,3
MALLAREDDY INSTITUTE OF TECHNOLOGY,3
ST.PETER'S ENGINEERING COLLEGE,3
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING TECHNOLOGY,3
SASTRA DEEMED UNIVERSITY,3
REVA UNIVERSITY,3
DADI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
GOKARAJU RANGARAJU COLLEGE OF ENGINEERING AND TECHNOLOGY,3
RGUKT NUZVID,3
"UNIVERSITY COLLEGE OF ENGINEERING, OSMANIA UNIVERSITY",3
RGUKT ONGOLE,3
AMRITA SAI INSTITUTE OF SCIENCE AND TECHNOLOGY,3
COMPANY,3
VISWAM,3
GCET,3
NA,3
JNTUH COLLEGE OF ENGINEERING RAJANNA SIRICILLA,3
JNTUH UNIVERSITY COLLEGE OF ENGINEERING SCIENCE AND TECHNOLOGY HYDERABAD,3
VNR VIGNANA JYOTHI INSTITUTE OF TECHNOLOGY,3
RGM,3
JNTUH-UCESTH,3
CMR,3
VALLURUPALLI NAGESHWAR RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
RAJEEV GANDHI MEMORIAL ENGINEERING COLLEGE,3
"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE,WARANGAL",3
MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE AFFILIATED TO OSMANIA UNIVERSITY,3
MATURITY VENKATA SUBBA RAO ENGINEERING COLLEGE,3
CMR COLLEGE OF ENGINEERING AND TECHNOLOGY (CMRCET),3
CMR COLLEGE OF ENGINEERING &TECHNOLOGY,3
